Tokyo,0.086572,37273866,2,,35.67,139.77,0.086572
Mexico City,0.049564,21339781,4,,19.43,-99.14,0.136136
New York,0.046404,19979477,1,,40.67,-73.94,0.182541
Osaka,0.044833,19302746,2,,34.68,135.5,0.227373
Los Angeles,0.030871,13291486,1,,34.11,-118.41,0.258244
Chicago,0.022062,9498716,1,,41.84,-87.68,0.280306
Nagoya,0.021747,9363221,2,,35.15,136.91,0.302053
Dallas,0.017512,7539711,1,,32.79,-96.77,0.319565
Houston,0.016252,6997384,1,,29.77,-95.39,0.335817
Washington,0.014516,6249950,1,,38.91,-77.02,0.350333
Miami,0.014397,6198782,1,,25.78,-80.21,0.364731
Philadelphia,0.014159,6096372,1,,40.01,-75.13,0.37889
Atlanta,0.013819,5949951,1,,33.76,-84.42,0.392709
Toronto,0.013768,5928040,8,,43.65,-79.38,0.406478
Fukuoka,0.012863,5538142,2,,33.59,130.41,0.419341
Boston,0.011324,4875390,1,,42.34,-71.02,0.430664
Phoenix,0.011283,4857962,1,,33.54,-112.07,0.441948
Guadalajara,0.011141,4796603,4,,20.67,-103.35,0.453088
San Francisco,0.010985,4729484,1,,37.77,-122.45,0.464073
Oakland,0.010985,4729484,1,,37.77,-122.22,0.475058
Riverside,0.010736,4622361,1,,33.94,-117.4,0.485794
Monterrey,0.010396,4475949,4,,25.67,-100.32,0.496189
Detroit,0.010049,4326442,1,,42.38,-83.1,0.506238
Montreal,0.00952,4098927,8,,45.52,-73.57,0.515758
Seattle,0.00915,3939363,1,,47.62,-122.35,0.524908
Minneapolis,0.008429,3629190,1,,44.96,-93.27,0.533337
San Diego,0.007765,3343364,1,,32.81,-117.14,0.541102
Tampa,0.007299,3142663,1,,27.96,-82.48,0.548401
St. Petersburg,0.007299,3142663,1,,27.96,-82.48,0.555701
Puebla,0.006833,2941988,4,,19.05,-98.22,0.562534
Denver,0.006811,2932415,1,,39.77,-104.87,0.569345
Shizuoka,0.006601,2842151,2,,34.98,138.39,0.575946
St. Louis,0.006516,2805465,1,,38.64,-90.24,0.582462
Baltimore,0.00651,2802789,1,,39.3,-76.61,0.588971
Sapporo,0.006123,2636254,2,,43.06,141.34,0.595094
Orlando,0.005975,2572692,1,,28.5,-81.37,0.60107
Charlotte,0.005967,2569213,1,,35.2,-80.83,0.607037
San Antonio,0.005848,2518036,1,,29.46,-98.51,0.612885
Portland,0.005757,2478810,1,,45.54,-122.66,0.618643
Vancouver,0.005722,2463431,8,,49.28,-123.13,0.624364
Sacramento,0.005447,2345210,1,,38.57,-121.47,0.629811
Pittsburgh,0.005399,2324743,1,,40.44,-79.98,0.635211
Sendai,0.005242,2256964,2,,38.26,140.89,0.640453
Las Vegas,0.005183,2231647,1,,36.21,-115.22,0.645636
Cincinnati,0.005087,2190209,1,,39.14,-84.51,0.650723
Austin,0.005036,2168316,1,,30.31,-97.75,0.655759
Kansas City,0.004979,2143651,1,,39.12,-94.55,0.660738
Toluca,0.004916,2116506,4,,19.29,-99.67,0.665654
Columbus,0.004893,2106541,1,,39.99,-82.99,0.670547
Hiroshima,0.00487,2096745,2,,34.39,132.44,0.675416
Cleveland,0.004778,2057009,1,,41.48,-81.68,0.680194
Indianapolis,0.004758,2048703,1,,39.78,-86.15,0.684952
San Jose,0.004643,1999107,1,,37.3,-121.85,0.689596
Nashville,0.004485,1930961,1,,36.17,-86.78,0.69408
Tijuana,0.004275,1840710,4,,32.53,-117.02,0.698356
León,0.004107,1768193,4,,21.12,-101.69,0.702462
Norfolk,0.004015,1728733,1,,36.74,-76.04,0.706478
Utsunomiya,0.003845,1655673,2,,36.56,139.89,0.710323
Okayama,0.003808,1639414,2,,34.67,133.92,0.714131
Providence,0.003766,1621337,1,,41.82,-71.42,0.717896
Milwaukee,0.003661,1576113,1,,43.06,-87.97,0.721557
Jacksonville,0.003565,1534701,1,,30.33,-81.66,0.725122
Kumamoto,0.003468,1492975,2,,32.8,130.71,0.728589
Oklahoma City,0.003243,1396445,1,,35.47,-97.51,0.731833
Niigata,0.003241,1395612,2,,37.92,139.04,0.735074
Calgary,0.003234,1392609,8,,51.05,-114.06,0.738309
Juárez,0.003231,1391180,4,,31.74,-106.49,0.74154
Raleigh,0.003165,1362540,1,,35.82,-78.66,0.744704
Memphis,0.003137,1350620,1,,35.11,-90.01,0.747841
Ottawa,0.003075,1323783,8,,45.42,-75.71,0.750916
Edmonton,0.003069,1321426,8,,53.57,-113.54,0.753985
Richmond,0.003034,1306172,1,,37.53,-77.47,0.757019
Louisville,0.003013,1297310,1,,38.22,-85.74,0.760032
Torreón,0.002982,1283835,4,,25.55,-103.43,0.763014
New Orleans,0.002951,1270399,1,,30.07,-89.93,0.765964
Querétaro,0.002915,1255185,4,,20.59,-100.4,0.76888
Salt Lake City,0.002839,1222540,1,,40.78,-111.93,0.771719
Hartford,0.002802,1206300,1,,41.77,-72.68,0.774521
Birmingham,0.002675,1151801,1,,33.53,-86.8,0.777196
San Luis Potosí,0.002633,1133571,4,,22.16,-100.98,0.779829
Buffalo,0.002625,1130152,1,,42.89,-78.86,0.782454
Kagoshima,0.002617,1126639,2,,31.59,130.56,0.785071
Rochester,0.002488,1071082,1,,43.17,-77.62,0.787558
